name,time,Temp
t2,1577761315000000000,5.1
t2,1577761401000000000,4.1
t2,1577762101000000000,5.1
t2,1577762383000000000,4.1
t2,1577762687000000000,5.1
t2,1577763544000000000,6.4
t2,1577765913000000000,6.1
t2,1577766810000000000,7.2
t2,1577766943000000000,6.1
t2,1577767597000000000,5.1
t2,1577767927000000000,6.3
t2,1577768434000000000,5.2
t2,1577768670000000000,4.1
t2,1577769221000000000,6.3
t2,1577769955000000000,5
t2,1577770040000000000,3.8
t2,1577771021000000000,4.8
t2,1577771208000000000,5.9
t2,1577771928000000000,5.5
t2,1577773039000000000,4.3
t2,1577773221000000000,3.3
t2,1577774430000000000,3.3
t2,1577774667000000000,4.3
t2,1577775498000000000,3.3
t2,1577775770000000000,2
t2,1577776429000000000,3.3
t2,1577778090000000000,1.1
t2,1577779435000000000,0.1
t2,1577779836000000000,0.8
t2,1577781239000000000,-2.8
t2,1577781735000000000,-4.1
t2,1577782272000000000,-5.2
t2,1577782720000000000,-6.3
t2,1577785151000000000,-7.5
t2,1577796693000000000,-8.1
t2,1577798952000000000,-9.2
t2,1577810693000000000,-10.4
t2,1577830949000000000,-12.4
t2,1577837156000000000,-11.1
t2,1577838017000000000,-8.9
t2,1577838404000000000,-7.6
t2,1577839459000000000,-5.4
t2,1577839845000000000,-4.3
t2,1577840455000000000,-3.1
t2,1577841666000000000,-2.1
t2,1577842831000000000,0
t2,1577843165000000000,0.9
t2,1577843466000000000,1.9
t2,1577844414000000000,3
t2,1577846604000000000,6.3
t2,1577850168000000000,9.8
t2,1577850860000000000,8.7
t2,1577851651000000000,7.7
t2,1577853682000000000,11.1
t2,1577854050000000000,10
t2,1577854281000000000,9
t2,1577854984000000000,10
t2,1577856053000000000,10
t2,1577857285000000000,11.1
t2,1577858082000000000,12.2
t2,1577860288000000000,10.8
t2,1577860475000000000,9.8
t2,1577862213000000000,8.7
t2,1577863216000000000,8.7
t2,1577865172000000000,5.6
t2,1577865684000000000,4.6
t2,1577866084000000000,3.3
t2,1577866734000000000,2.1
t2,1577867065000000000,1.1
t2,1577867560000000000,0.1
t2,1577867885000000000,0.8
t2,1577868825000000000,-2.8
t2,1577874602000000000,-5.3
t2,1577878399000000000,-6.5
t2,1577879660000000000,-5.4
t2,1577889365000000000,-6.8
t2,1577896239000000000,-7.5
t2,1577907779000000000,-8.4
t2,1577913884000000000,-9.5
t2,1577915260000000000,-8.4
t2,1577919977000000000,-8.7
t2,1577923953000000000,-6.4
t2,1577924453000000000,-5.3
t2,1577925368000000000,-2.8
t2,1577925771000000000,-1.8
t2,1577926092000000000,0.8
t2,1577928148000000000,0.1
t2,1577928784000000000,1.1
t2,1577932232000000000,2.1
t2,1577934601000000000,3.4
t2,1577934837000000000,4.4
t2,1577934994000000000,5.5
t2,1577935286000000000,6.6
t2,1577935547000000000,7.7
t2,1577935844000000000,8.7
t2,1577936240000000000,10.8
t2,1577936703000000000,9.8
t2,1577936944000000000,8.7
t2,1577937248000000000,9.8
t2,1577938094000000000,10.8
t2,1577938437000000000,11.9
t2,1577939138000000000,13
t2,1577941015000000000,14
t2,1577941196000000000,15.1
t2,1577941463000000000,14
t2,1577941797000000000,13
t2,1577941933000000000,11.9
t2,1577942882000000000,10.8
t2,1577943388000000000,11.9
t2,1577943679000000000,13
t2,1577944568000000000,11.9
t2,1577944654000000000,10.8
t2,1577944741000000000,9.8
t2,1577945879000000000,6.6
t2,1577946197000000000,5.6
t2,1577946566000000000,4.6
t2,1577947752000000000,4.7
t2,1577948708000000000,5.9
t2,1577949061000000000,6.9
t2,1577949949000000000,5.9
t2,1577950248000000000,4.8
t2,1577952705000000000,3.8
t2,1577953314000000000,2.8
t2,1577961779000000000,0
t2,1577968282000000000,0.8
t2,1577976476000000000,-2.1
t2,1577980118000000000,-3.1
t2,1577984860000000000,-3.9
t2,1577991215000000000,-3.6
t2,1577995010000000000,-4.8
t2,1578004159000000000,-3.7
t2,1578009573000000000,-4.3
t2,1578010716000000000,-2.1
t2,1578011121000000000,-1.1
t2,1578011604000000000,0
t2,1578014341000000000,3.9
t2,1578015327000000000,5
t2,1578015596000000000,6
t2,1578015878000000000,7
t2,1578017293000000000,9.3
t2,1578017685000000000,10.3
t2,1578017844000000000,11.4
t2,1578018705000000000,12.4
t2,1578019033000000000,13.5
t2,1578020503000000000,14.6
t2,1578021605000000000,15.6
t2,1578022597000000000,16.7
t2,1578022862000000000,15.6
t2,1578024580000000000,15.6
t2,1578024825000000000,17
t2,1578028155000000000,17
t2,1578028790000000000,19.3
t2,1578029039000000000,17.9
t2,1578029280000000000,16.8
t2,1578030759000000000,14.6
t2,1578032656000000000,15.6
t2,1578032868000000000,16.7
t2,1578033131000000000,17.8
t2,1578034799000000000,15.6
t2,1578035114000000000,14.4
t2,1578037656000000000,13.2
t2,1578037839000000000,12.2
t2,1578038928000000000,9
t2,1578040095000000000,5.7
t2,1578041471000000000,3.5
t2,1578042157000000000,2.4
t2,1578043537000000000,1.3
t2,1578048596000000000,1.1
t2,1578058857000000000,1.1
t2,1578062195000000000,0.1
t2,1578065724000000000,0.8
t2,1578070246000000000,-2.8
t2,1578076863000000000,-2.1
t2,1578077891000000000,-3.1
t2,1578082791000000000,-3.3
t2,1578086200000000000,-2.1
t2,1578090821000000000,-2.1
t2,1578095671000000000,-2.1
t2,1578096414000000000,0.9
t2,1578098602000000000,2.1
t2,1578098971000000000,3.2
t2,1578099474000000000,4.2
t2,1578099902000000000,5.5
t2,1578102297000000000,10.8
t2,1578102594000000000,11.9
t2,1578103163000000000,13
t2,1578103600000000000,11.9
t2,1578104346000000000,13
t2,1578104556000000000,14
t2,1578104772000000000,15.1
t2,1578105153000000000,16.2
t2,1578106673000000000,17.2
t2,1578106885000000000,18.5
t2,1578112226000000000,22.9
t2,1578113927000000000,21.8
t2,1578114273000000000,20.7
t2,1578115204000000000,22.9
t2,1578116248000000000,21.8
t2,1578116936000000000,20.4
t2,1578118422000000000,20.4
t2,1578119131000000000,21.5
t2,1578121737000000000,19.3
t2,1578123833000000000,15.9
t2,1578124896000000000,14.8
t2,1578126033000000000,12.7
t2,1578126392000000000,11.6
t2,1578126606000000000,10.6
t2,1578126961000000000,9.5
t2,1578127421000000000,8.5
t2,1578127719000000000,7.4
t2,1578127989000000000,6.4
t2,1578128719000000000,4.3
t2,1578129322000000000,3.3
t2,1578131613000000000,2.3
t2,1578134054000000000,3.4
t2,1578139033000000000,2.8
t2,1578145216000000000,1.8
t2,1578150143000000000,0.2
t2,1578151611000000000,-1.3
t2,1578168471000000000,-3.1
t2,1578175024000000000,-3.6
t2,1578182110000000000,-4.1
t2,1578184981000000000,-2.8
t2,1578185714000000000,-1.8
t2,1578190686000000000,0.4
t2,1578191806000000000,1.4
t2,1578193017000000000,2.4
t2,1578193863000000000,3.4
t2,1578195000000000000,4.4
t2,1578196428000000000,3.3
t2,1578198204000000000,2.3
t2,1578203037000000000,2.1
t2,1578212473000000000,0.6
t2,1578218248000000000,0.3
t2,1578222891000000000,0
t2,1578226228000000000,-1.1
t2,1578231841000000000,-1.8
t2,1578251845000000000,-1.8
t2,1578266693000000000,-2.1
t2,1578271858000000000,-1.1
t2,1578274512000000000,0
t2,1578275432000000000,0.9
t2,1578276958000000000,1.9
t2,1578277910000000000,2.9
t2,1578278423000000000,3.9
t2,1578279235000000000,2.9
t2,1578280180000000000,3.9
t2,1578280847000000000,5
t2,1578283924000000000,5
t2,1578284641000000000,6.3
t2,1578284957000000000,8.7
t2,1578285149000000000,9.8
t2,1578285684000000000,7.7
t2,1578285874000000000,6.6
t2,1578287252000000000,5.4
t2,1578287610000000000,4.3
t2,1578288569000000000,6.8
t2,1578289547000000000,7.8
t2,1578289934000000000,6.6
t2,1578291122000000000,6.6
t2,1578291392000000000,7.8
t2,1578292385000000000,4.3
t2,1578292734000000000,3
t2,1578296229000000000,3
t2,1578297679000000000,0.9
t2,1578300041000000000,0
t2,1578304196000000000,-2.1
t2,1578308614000000000,-1.1
t2,1578313308000000000,-1.1
t2,1578321217000000000,0.4
t2,1578327573000000000,0.2
t2,1578334479000000000,0.6
t2,1578339344000000000,-1.6
t2,1578350567000000000,-2.6
t2,1578356438000000000,-1.6
t2,1578359455000000000,0.4
t2,1578363543000000000,0.5
t2,1578365787000000000,1.5
t2,1578370698000000000,1.9
t2,1578377144000000000,1.9
t2,1578383601000000000,0.9
t2,1578388497000000000,0
t2,1578399894000000000,0.8
t2,1578413082000000000,-2.1
t2,1578417270000000000,-3.1
t2,1578422366000000000,-3.3
t2,1578428994000000000,-3.6
t2,1578441652000000000,-2.7
t2,1578442148000000000,-1.6
t2,1578442800000000000,0.6
t2,1578445288000000000,2.4
t2,1578446652000000000,3.4
t2,1578447886000000000,4.4
t2,1578451270000000000,5.9
t2,1578455935000000000,10.3
t2,1578456092000000000,11.4
t2,1578456428000000000,10.3
t2,1578456950000000000,11.4
t2,1578458191000000000,10.3
t2,1578460113000000000,11.4
t2,1578460613000000000,12.4
t2,1578462258000000000,12.4
t2,1578462910000000000,14.8
t2,1578463066000000000,15.9
t2,1578463250000000000,14.8
t2,1578463467000000000,15.9
t2,1578464147000000000,18.3
t2,1578464698000000000,15.8
t2,1578464889000000000,14.6
t2,1578465422000000000,16.7
t2,1578466548000000000,17.8
t2,1578467803000000000,16.6
t2,1578467914000000000,15.5
t2,1578469729000000000,14.3
t2,1578469981000000000,13.1
t2,1578470192000000000,11.9
t2,1578471566000000000,10.8
t2,1578472002000000000,9.8
t2,1578472518000000000,8.7
t2,1578472873000000000,7.7
t2,1578473577000000000,4.6
t2,1578473937000000000,3.5
t2,1578474637000000000,1.4
t2,1578475457000000000,0.4
t2,1578477112000000000,0.6
t2,1578479041000000000,-1.6
t2,1578481085000000000,0.6
t2,1578500686000000000,-4.3
t2,1578506076000000000,-3.9
t2,1578512536000000000,-3.8
t2,1578515217000000000,-5.1
t2,1578528370000000000,-5.5
t2,1578529213000000000,-3.1
t2,1578529574000000000,-2.1
t2,1578530466000000000,0
t2,1578531068000000000,0.9
t2,1578531494000000000,1.9
t2,1578531968000000000,2.9
t2,1578533358000000000,5
t2,1578535941000000000,6.1
t2,1578537028000000000,7.2
t2,1578539327000000000,9.3
t2,1578539564000000000,10.3
t2,1578542067000000000,11.4
t2,1578542285000000000,12.4
t2,1578544044000000000,14.6
t2,1578544354000000000,15.6
t2,1578545355000000000,14.4
t2,1578546103000000000,15.5
t2,1578547908000000000,13.2
t2,1578549032000000000,13.1
t2,1578550358000000000,15.4
t2,1578550690000000000,16.4
t2,1578551956000000000,14
t2,1578553258000000000,13
t2,1578553643000000000,11.9
t2,1578554445000000000,10.8
t2,1578555495000000000,9.8
t2,1578555754000000000,8.7
t2,1578556404000000000,6.6
t2,1578556615000000000,5.6
t2,1578557543000000000,3.5
t2,1578558787000000000,1.5
t2,1578560480000000000,0.4
t2,1578564206000000000,-1.6
t2,1578568933000000000,-1.2
t2,1578575443000000000,-1.4
t2,1578579857000000000,-2.4
t2,1578590759000000000,-4.1
